Borough;Latitude;Longitude
ADALAR;40.87637720;29.09544400
ARNAVUTKÖY;41.20000000;28.73333300
ATAÞEHÝR;40.98333330;29.11666670
AVCILAR;41.01534790;28.73146180
BAÐCILAR;41.04555560;28.84055560
BAHÇELÝEVLER;40.99750000;28.85055560
BAKIRKÖY;40.96815500;28.82280000
BAÞAKÞEHÝR;41.07789500;28.81255100
BAYRAMPAÞA;41.04815030;28.90045530
BEÞÝKTAÞ;41.06861600;29.02853550
BEYKOZ;41.13271900;29.10569000
BEYLÝKDÜZÜ;40.99103810;28.64981440
BEYOÐLU;41.03828640;28.97033040
BÜYÜKÇEKMECE;41.03413300;28.59000300
ÇATALCA;41.14823900;28.46773000
ÇEKMEKÖY;41.10423500;29.31772720
ESENLER;41.07941330;28.85385450
ESENYURT;41.03428060;28.68011940
EYÜP;41.18715980;28.88298160
FATÝH;41.01666670;28.93333330
GAZÝOSMANPAÞA;41.07594770;28.90045530
GÜNGÖREN;41.01666670;28.88333330
KADIKÖY;40.98014100;29.08227000
KAÐITHANE;41.07100000;28.97000000
KARTAL;40.89965100;29.19364900
KÜÇÜKÇEKMECE;41.00865800;28.77534200
MALTEPE;40.94904700;29.17410900
PENDÝK;40.87932600;29.25813500
SANCAKTEPE;41.02870280;29.29018290
SARIYER;41.16632800;29.04995000
SÝLÝVRÝ;41.08015800;28.26829000
SULTANBEYLÝ;40.96111230;29.26694380
SULTANGAZÝ;41.12557940;28.87133140
ÞÝLE;41.17638890;29.61277780
ÞÝÞLÝ;41.06000000;28.98700000
TUZLA;40.84200000;29.29500000
ÜMRANÝYE;41.03030000;29.10650000
ÜSKÜDAR;41.03223600;29.03193800
ZEYTÝNBURNU;40.99063500;28.89614000
